title	date	sourse	content	link
电影院等密闭式娱乐休闲场所低中高风险地区均暂不开业	2020-04-10	来源： 新华社“新华视点”微博发布时间：  2020-04-10 14:32:12	日前，国务院联防联控机制印发通知，落实分区分级防控要求，推进生产生活秩序逐步恢复，进一步做好重点场所、重点单位、重点人群的疫情防控工作。明确了密闭式娱乐、休闲场所低、中、高风险地区均暂不开业，具体要求由各地依据本地疫情形势研究确定。建议低风险地区生活服务类场所在做好室内通风、环境清洁消毒、人员健康监测的前提下正常营业；中、高风险地区生活服务类场所应当限制人员数量，减少人群聚集。（记者 王秉阳）	http://www.piyao.org.cn/2020-04/10/c_1210552364.htm
湖北发放健康码 中低风险地区持绿码人员可全省通行	2020-03-10	来源： 湖北省人民政府网站时间：  2020-03-10	湖北省新型冠状病毒感染肺炎疫情防控指挥部通告	http://www.piyao.org.cn/2020-03/10/c_1210508727.htm
河北明确高校、中小学、幼儿园复学复课时间	2020-05-16	来源： 河北教育发布微信公众号时间：  2020-05-16	关于各级各类学校复学复课时间的公告	http://www.piyao.org.cn/2020-05/16/c_1210621242.htm
教育部：夏季毕业研究生可顺延毕业时间	2020-03-05	来源： 中国青年报发布时间：  2020-03-05 15:44:38	（记者 叶雨婷）	http://www.piyao.org.cn/2020-03/05/c_1210501947.htm
上海出现3000例确诊病例？密封箱能杀死病毒？这波智商税你交了没	2020-02-14	来源： 中国互联网联合辟谣平台时间：  2020-02-14	火神山医院月薪三万招保洁员？吃益生菌能防治新冠病毒？莫让这些谣言有机可乘	http://www.piyao.org.cn/2020-02/14/c_1210474593.htm
北京丰台一小区断粮？谣言	2020-06-19	来源： 新京报发布时间：  2020-06-19 14:54:46	（记者 张静雅）	http://www.piyao.org.cn/2020-06/19/c_1210668502.htm
齐齐哈尔集中关闭社区仓买、超市？谣言	2020-02-19	来源： 美丽鹤城微信公众号时间：  2020-02-19	齐齐哈尔	http://www.piyao.org.cn/2020-02/19/c_1210480856.htm
从湖北去上海的物流司机感染新型冠状病毒死亡？谣言	2020-02-23	来源： @平安北京时间：  2020-02-23	北京市公安局官方微博	http://www.piyao.org.cn/2020-02/23/c_1210486510.htm
辟谣：北京呼家楼辖区内未出现新冠肺炎确诊病例	2020-03-20	来源： 千龙网时间：  2020-03-20	北京市朝阳区3月19日晚发布，日前，网传“小庄公交场站旁边小区有人发病求助”，经核实，网上发布的消息系谣言。请广大网民不信谣、不传谣，众志成城，抗击疫情。感谢广大网民的关心、支持和理解。	http://www.piyao.org.cn/2020-03/20/c_1210522464.htm
哈尔滨一确诊患者跑至牡丹江步行街被警察抓获？谣言	2020-02-25	来源： @牡丹江网警巡查执法时间：  2020-02-25	造谣网民为牡丹江市民王某。经牡丹江市公安局阳明分局工作，造谣者王某承认信息为自己编造的谣言，现已被处以治安拘留5日处罚。	http://www.piyao.org.cn/2020-02/25/c_1210489032.htm
“健康码”国家标准来了！	2020-05-05	来源： 新华社发布时间：  2020-05-05 12:36:00	（来源：国家政务服务平台）	http://www.piyao.org.cn/2020-05/05/c_1210604381.htm
北京将继续对社区村实行封闭式管理	2020-05-18	来源： 北京日报客户端时间：  2020-05-18	孙乐琪）	http://www.piyao.org.cn/2020-05/18/c_1210622845.htm
湖南省直中医医院因新冠肺炎关门？谣言	2020-03-03	来源： 株洲网发布时间：  2020-03-03 14:23:11	散布谣言的王某某。（通讯员供图）	http://www.piyao.org.cn/2020-03/03/c_1210499052.htm
北京地铁为防疫情卸掉座椅？谣言	2020-06-15	来源： 新京报我们视频官方微博发布时间：  2020-06-15 11:02:25	6月14日，一张社交媒体截图引热议，截图内容称 “今天北京地铁座椅全部卸掉，以减少人员接触面积”。北京地铁工作人员称，座椅拆除是去年之事，当时是为缓解地铁早晚高峰客流量问题。@新京报我们视频 分别探访了北京地铁4号线、7号线与10号线，发现地铁进站需测体温、戴口罩，车厢内并未出现座椅被拆情况。	http://www.piyao.org.cn/2020-06/15/c_1210661487.htm
山东海阳一女子血清检测IgM抗体阳性？谣言	2020-05-15	来源： 海阳市卫生健康局官方微信发布时间：  2020-05-15 15:28:10	截图自海阳市卫生健康局官方微信	http://www.piyao.org.cn/2020-05/15/c_1210619928.htm
武汉完成近990万人集中核酸检测 无症状感染者检出率仅0.303/万	2020-06-03	来源： 新华社时间：  2020-06-03		http://www.piyao.org.cn/2020-06/03/c_1210644528.htm
上海虹口足球场成“集中隔离点”？谣言	2020-03-09	来源： 上海网络辟谣时间：  2020-03-09	毛锦伟	http://www.piyao.org.cn/2020-03/09/c_1210506405.htm
速转速学丨新型冠状病毒感染的肺炎通用预防指南	2020-02-11	来源： 中国互联网联合辟谣平台时间：  2020-02-11		http://www.piyao.org.cn/2020-02/11/c_1210461341.htm
成都新都大丰确诊病例与859人有接触？谣言	2020-02-20	来源： @新都资讯时间：  2020-02-20	新都	http://www.piyao.org.cn/2020-02/20/c_1210482965.htm
新发地几万人被运送到河北唐山隔离？谣言	2020-06-17	来源： 北京市丰台区政府官方微博发布时间：  2020-06-17 10:01:13	据@北京丰台 消息：网传“新发地几万人被运送到河北唐山隔离”为谣言。6月14日起，新发地批发市场内近万名经营、采购和工作人员，经集中采集咽拭子后，乘坐大巴，分别转运至丰台、昌平、房山、通州、大兴及经济开发区集中观察点，进行集中医学观察。	http://www.piyao.org.cn/2020-06/17/c_1210664575.htm
淮安一学校有学生确诊新冠肺炎？全班都被隔离？谣言	2020-05-07	来源： 淮安市违法和不良信息举报中心时间：  2020-05-07	淮安网络违法和有害不良信息举报微信公众号	http://www.piyao.org.cn/2020-05/07/c_1210601448.htm
中国被迫参加世卫大会决议？不实	2020-06-01	来源： 北京日报客户端时间：  2020-06-01	5月20日，外交部发言人赵立坚主持例行记者会。	http://www.piyao.org.cn/2020-06/01/c_1210642014.htm
为什么“新冠病毒人造论”站不住脚？这篇文章说清楚了	2020-04-23	来源： 新华社时间：  2020-04-23		http://www.piyao.org.cn/2020-04/23/c_1210587089.htm
北京某区教委初步确认9月1日前不开学？不实！	2020-04-07	来源： 北京市教委官方微博发布时间：  2020-04-07 17:15:26	近日，部分家长微信群流传“北京某区教委接到通知，确认9月1日前不会复学”“网课就这么一直上下去”等信息，对此，北京市委教育工委、市教委明确表示，这是一条虚假信息。目前，北京市委教育工委、市教委正在分批次、分类型做开学准备工作，制定各批次、各年级开学详细计划。同时，从4月13日起，北京春季学期将实现“线上线下”无缝衔接，建立与疫情防控常态化相适应的课程教学机制。近期，北京市委教育工委、市教委将公布具体开学时间，请大家以官方微信公号“首都教育”等权威发布为准，不造谣、不信谣、不传谣！	http://www.piyao.org.cn/2020-04/07/c_1210547772.htm
乐清市人民医院确诊14列新型冠状病毒感染病例？谣言	2020-04-19	来源： 乐清发布微信公众号时间：  2020-04-19	乐清	http://www.piyao.org.cn/2020-04/19/c_1210577430.htm
钟南山去武汉东西湖区了？东西湖区健康码转红？谣言	2020-05-13	来源： 武汉东西湖区人民政府官方微博发布时间：  2020-05-13 16:26:08	截图自武汉市东西湖区人民政府官方微博	http://www.piyao.org.cn/2020-05/13/c_1210617120.htm
天津王顶堤批发市场检出十几个新冠病毒携带者？谣言	2020-06-16	来源： 天津网信办官方微博发布时间：  2020-06-16 14:13:14	近日，天津市王顶堤批发市场已检出十几例新冠病毒携带者的消息在微信等平台传播，引发广泛关注。对此，天津市网信办官方微博发布辟谣称，经与相关部门核实，截止16日早9点，王顶堤批发市场相关人员核酸检测结果均为阴性。请广大网友不造谣、不信谣、不传谣、不恐慌，共同维护良好的网络秩序！	http://www.piyao.org.cn/2020-06/16/c_1210663155.htm
中国邮政集团湖南省国际业务分公司禁止收寄口罩？谣言	2020-03-09	来源： 湖南邮政微信公众号时间：  2020-03-09	近日，一份所谓“中国邮政集团湖南省国际业务分公司”《关于禁止收寄口罩、手套和防护服等重要战略物资的通知》文件截图在网络传播。7日，中国邮政集团公司湖南省分公司在其官方微信发布辟谣声明表示，网传“业务通知”为伪造文件，所属内容纯系谣传。	http://www.piyao.org.cn/2020-03/09/c_1210507059.htm
2020年6月1日起，濮阳恢复机动车尾号限行措施？谣言	2020-06-04	来源： 濮阳公安局交警支队微信公号时间：  2020-06-04	濮阳	http://www.piyao.org.cn/2020-06/04/c_1210646590.htm
多喝热水姜汤、盖被子、晒太阳能预防新冠病毒？谣言	2020-03-05	来源： 腾讯较真发布时间：  2020-03-05 11:12:44	新冠病毒对热敏感，但并不是在26-27℃的环境下就能被杀死，而是需要在56℃、30分钟的条件下才能有效灭活病毒。人体内的温度在37℃左右，如果26-27℃就能将其杀灭，那么病毒在体内根本不能存活。所以，喝热水、喝姜汤、盖被子、晒太阳，都达不到杀灭病毒的温度。	http://www.piyao.org.cn/2020-03/05/c_1210501455.htm
武汉城管队员拦截捐献蔬菜？谣言	2020-02-25	来源： @武昌政务微博时间：  2020-02-25	武汉城管队员拦截捐献蔬菜？	http://www.piyao.org.cn/2020-02/25/c_1210489564.htm
长春有一吉林密切接触者逃跑失踪？谣言	2020-05-20	来源： @长春发布时间：  2020-05-20	@长春发布	http://www.piyao.org.cn/2020-05/20/c_1210626613.htm
新冠肺炎和炎症性肠病傻傻分不清楚？	2020-03-14	来源： 科普中国发布时间：  2020-03-14 15:30:42	（受访专家：华中科技大学同济医学院附属协和医院消化内科主任医师朱良如）	http://www.piyao.org.cn/2020-03/14/c_1210514505.htm
上海地铁11号线因有新冠患者突然暂停？	2020-06-20	来源： 上海市卫生健康委员会官方微博时间：  2020-06-20	猜测立刻随之而来，上海是不是也有本土病例了？	http://www.piyao.org.cn/2020-06/20/c_1210669742.htm
松茸蘑菇能预防新型冠状病毒？谣言	2020-03-05	来源： 腾讯较真发布时间：  2020-03-05 11:08:24	不管是松茸还是别的食物，都各有营养成分，其中一些在特定的细胞实验或者动物实验中能够显示“潜在”的某种功能。且不说这些实验并不能证明它们在人体中有同样的功效，这些功效本身，也跟预防新冠病毒没有什么关系。	http://www.piyao.org.cn/2020-03/05/c_1210501465.htm
网传上海市高级人民法院开具《扣押通知书》？谣言	2020-02-21	来源： @网民直通车-上海时间：  2020-02-21	2月20日晚，网上流传一张所谓上海市高级人民法院开具的《扣押通知书》，称青浦公安分局于当日在花桥收费处设卡检查入沪车辆时，扣押了青浦某药房购买的大量红外额温枪等防疫保障物资。经调查，该信息不属实，网传《扣押通知书》系伪造。目前，公安机关正在开展进一步调查。	http://www.piyao.org.cn/2020-02/21/c_1210484121.htm
山东省确定开学返校时间？谣言	2020-03-27	来源： 齐鲁网时间：  2020-03-27	3月26日	http://www.piyao.org.cn/2020-03/27/c_1210532794.htm
网传牛蛙列入禁食名录？谣言	2020-02-21	来源： 国是直通车微信公众号时间：  2020-02-21	近日，网传一份名单显示，牛蛙、甲鱼、水鸭等也被禁止经营销售。	http://www.piyao.org.cn/2020-02/21/c_1210483555.htm
因新冠病毒影响，中通暂停武汉部分区域快递揽派？不实！	2020-05-13	来源： 中国经济网发布时间：  2020-05-13 16:26:08	（记者朱国旺 郭文培）	http://www.piyao.org.cn/2020-05/13/c_1210617176.htm
天津站为应对疫情采取隔离措施？谣言	2020-02-14	来源： 天津网警巡查执法、华商网时间：  2020-02-14	天津网警巡查执法 发布消息称，经证实，消息中配图为	http://www.piyao.org.cn/2020-02/14/c_1210474246.htm
上海奉贤第一例确诊病例治愈后复阳了，还传给了家人？谣言	2020-04-27	来源： 上海网络辟谣、健康奉贤时间：  2020-04-27	健康奉贤微信公众号截图	http://www.piyao.org.cn/2020-04/27/c_1210592126.htm
上海幼儿园6月2日开学，中福会幼儿园已通知？谣言	2020-05-15	来源： 上观新闻发布时间：  2020-05-15 10:21:14	△传言称上海中福会幼儿园已通知6月2日开学。	http://www.piyao.org.cn/2020-05/15/c_1210619447.htm
海淀医院出现院内多人感染？谣言	2020-02-20	来源： 北京日报微信公众号时间：  2020-02-20	海淀医院出现院内感染等消息进行辟谣。	http://www.piyao.org.cn/2020-02/20/c_1210483263.htm
中国限制防疫物资出口？谣言	2020-05-26	来源： 新华网时间：  2020-05-26	25日举行的今年全国两会第二场“部长通道”上，商务部部长钟山回应了社会各界关心的经贸热点问题。	http://www.piyao.org.cn/2020-05/26/c_1210633948.htm
大连紧急排查吉林来普王某？谣言	2020-05-22	来源： 普兰店发布微信公号时间：  2020-05-22	普兰店发布微信公众号	http://www.piyao.org.cn/2020-05/22/c_1210629511.htm
北京西城区金融街链家地产经纪人已确诊新冠肺炎？谣言	2020-06-17	来源： 北京市西城区人民政府官方微博发布时间：  2020-06-17 15:05:21	据@北京西城 消息：近日，网传我区“金融街链家地产经纪人已确诊为新型冠状病毒”。经与相关部门核实，以上为谣言，望广大网民不听、不信、不传。 ​​​​	http://www.piyao.org.cn/2020-06/17/c_1210665195.htm
猫对新冠病毒具有高易感性	2020-04-10	来源： 科技日报微信公众号发布时间：  2020-04-10 09:46:36	记者 李丽云）	http://www.piyao.org.cn/2020-04/10/c_1210551774.htm
山西阳泉各小学幼儿园本学期不做开学准备？谣言	2020-04-06	来源： 阳泉市教育局网站发布时间：  2020-04-06 15:21:51	山西阳泉市教育局官网消息，针对日前部分微信群流传的“阳泉市教育局关于下一阶段进一步做好中小学返校开学准备有关工作的通知”，阳泉市教育局辟谣，称此消息属不实传言。全文如下：	http://www.piyao.org.cn/2020-04/06/c_1210546492.htm
新冠病毒专在中国或东亚裔人种中传播？谣言	2020-02-21	来源： 生命时报微信公众号时间：  2020-02-21	武汉大学医学部基础医学院病毒学研究所的	http://www.piyao.org.cn/2020-02/21/c_1210483833.htm
6月1日起，北京市恢复机动车尾号限行措施	2020-05-30	来源： 首都之窗网站时间：  2020-05-30	为切实巩固大气污染治理成效，降低机动车污染物排放，持续改善首都空气质量，市政府决定自2020年6月1日至2021年4月4日，继续实施工作日(因法定节假日放假调休而调整为上班的星期六、星期日除外)高峰时段区域限行交通管理措施。	http://www.piyao.org.cn/2020-05/30/c_1210639327.htm
盘点4月十大谣言 别被涉疫情谣言所蒙蔽	2020-05-02	来源： 中国互联网联合辟谣平台时间：  2020-05-02		http://www.piyao.org.cn/2020-05/02/c_1210601393.htm
因新发地回来的司机，包头一市场发现疫情？谣言	2020-06-19	来源： @包头网警巡查执法发布时间：  2020-06-19 14:54:46	据@包头网警巡查执法 消息：近期网上、微信群流传关于“包头市友谊蔬菜批发市场有疫情”的信息均为谣言。请广大市民不信谣、不传谣，做守法好公民。	http://www.piyao.org.cn/2020-06/19/c_1210668506.htm
内蒙古自治区各地开学时间确定了？谣言	2020-02-20	来源： 综合时间：  2020-02-20	赤峰市委网信办	http://www.piyao.org.cn/2020-02/20/c_1210482847.htm
国家卫健委：全国绝大部分地区健康通行码已可实现“一码通行”	2020-04-06	来源： 人民网发布时间：  2020-04-06 15:21:51	（杨迪 董童）	http://www.piyao.org.cn/2020-04/06/c_1210546489.htm
新冠肺炎确诊患者乘坐火车来了赣州？谣言	2020-04-21	来源： @南铁赣州车务段时间：  2020-04-21	@南铁赣州车务段	http://www.piyao.org.cn/2020-04/21/c_1210579784.htm
多地援湖北医疗队物资被扣？谣言	2020-02-12	来源： 中国青年报微信公众号时间：  2020-02-12		http://www.piyao.org.cn/2020-02/12/c_1210470778.htm
泰安一医院因出现新冠肺炎病例病房楼封闭？谣言	2020-05-11	来源： 齐鲁网发布时间：  2020-05-11 16:25:13	近日，有传言称泰安宁阳县第一人民医院病房楼因新型冠状病毒病例而封闭，对此，院方发布辟谣信息。	http://www.piyao.org.cn/2020-05/11/c_1210613855.htm
湖北浙江等地人员陆续返回，内蒙古地区面临新危机？谣言	2020-03-09	来源： 北方新报微信公众号时间：  2020-03-09	张巧珍）	http://www.piyao.org.cn/2020-03/09/c_1210506976.htm
深圳地铁9号线封了？谣言	2020-06-19	来源： 深圳地铁官方微博发布时间：  2020-06-19 09:47:38	据@深圳地铁 消息：近日，一则关于“深圳九号线封了”的信息在微信群等网络社交平台出现。经查，该消息为谣言。目前，深圳地铁各线路车站均正常运营。请各位市民乘客不造谣、不信谣、不传谣，共同维护良好的网络秩序。感谢广大市民网友对深圳地铁的关注和支持！	http://www.piyao.org.cn/2020-06/19/c_1210667858.htm
全国停办因私护照？谣言	2020-05-21	来源： 澎湃新闻时间：  2020-05-21	原标题：“全国停办因私护照”？国内多地出入境管理部门已辟谣	http://www.piyao.org.cn/2020-05/21/c_1210628234.htm
深圳福田区发现自北京抵深确诊病例？谣言	2020-06-19	来源： 深圳卫健委官方微博发布时间：  2020-06-19 09:47:38	据@深圳卫健委 消息：关于网上流传的福田区梅林片区发现一例从北京来深新冠确诊病例一事，经相关部门认真核查，以上信息不实，属虚假信息。截至今天，深圳市已连续48天无新增新冠确诊病例。请大家自觉抵制网络谣言，不信谣，不传谣！	http://www.piyao.org.cn/2020-06/19/c_1210667847.htm
